time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-12T00:00:36.650Z,34.3286667,-118.4608333,1.1,2.14,ml,56,25,0.03242,0.42,ci,ci37117335,2015-03-12T03:05:25.243Z,"6km NNW of Pacoima, California",earthquake
2015-03-11T23:58:38.330Z,38.7621651,-122.7406693,2.55,0.54,md,10,116,0.009899,0.02,nc,nc72409640,2015-03-12T00:14:04.261Z,"2km SE of The Geysers, California",earthquake
2015-03-11T23:45:53.390Z,44.6347,-70.9249,3.84,2.4,mb_lg,,79,0.175,0.69,us,us10001ltr,2015-03-12T04:01:08.908Z,"21km ENE of Milan, New Hampshire",earthquake
2015-03-11T23:38:52.000Z,60.0219,-152.7317,101.1,2.1,ml,,,,0.29,ak,ak11527448,2015-03-12T01:37:41.679Z,"51km S of Redoubt Volcano, Alaska",earthquake
2015-03-11T23:30:50.880Z,40.8262,-118.6935,9.56,1.46,ml,5,251.99,0.921,,nn,nn00486741,2015-03-11T23:32:45.543Z,"64km ENE of Gerlach-Empire, Nevada",earthquake
2015-03-11T23:25:02.000Z,57.6882,-154.3354,57.5,2.7,ml,,,,0.12,ak,ak11527447,2015-03-12T01:38:23.653Z,"26km NW of Larsen Bay, Alaska",earthquake
2015-03-11T23:01:46.000Z,64.9648,-147.3355,0.2,1,ml,,,,0.76,ak,ak11527443,2015-03-12T00:10:19.927Z,"20km NNE of Badger, Alaska",earthquake
2015-03-11T23:01:29.750Z,34.5778333,-117.3288333,0.01,0.85,ml,14,169,0.01715,0.22,ci,ci37117287,2015-03-12T00:00:31.550Z,"6km NW of Victorville, California",quarry blast
2015-03-11T22:53:42.480Z,46.1115,-122.8505,0.01,0.99,md,16,156,0.08288,0.13,uw,uw60983701,2015-03-12T04:03:16.300Z,"5km SE of Kelso, Washington",explosion
2015-03-11T22:45:59.540Z,35.5655,-118.346,10.15,2.28,ml,35,42,0.1294,0.14,ci,ci37117279,2015-03-11T23:41:00.050Z,"13km ESE of Lake Isabella, California",earthquake
2015-03-11T22:41:08.010Z,37.6466667,-118.9203333,6.82,0.33,md,12,63,0.01417,0.03,nc,nc72409615,2015-03-11T23:53:05.142Z,"4km E of Mammoth Lakes, California",earthquake
2015-03-11T22:40:53.190Z,44.6192,-70.9283,5.21,1.4,ml,,96,0.168,0.31,us,us10001ltw,2015-03-12T02:50:24.256Z,"21km ENE of Milan, New Hampshire",earthquake
2015-03-11T22:34:03.100Z,36.0408333,-117.706,0.31,1.23,ml,16,124,0.0505,0.19,ci,ci37117255,2015-03-11T23:18:56.848Z,"22km ENE of Little Lake, California",earthquake
2015-03-11T22:21:35.790Z,48.0876667,-121.9365,0.31,1.72,md,25,49,0.1079,0.24,uw,uw60983686,2015-03-11T22:46:50.330Z,"2km E of Granite Falls, Washington",earthquake
2015-03-11T22:14:32.000Z,63.5578,-147.5406,1,0.8,ml,,,,0.66,ak,ak11527274,2015-03-12T01:37:37.382Z,"72km ENE of Cantwell, Alaska",earthquake
2015-03-11T22:02:59.300Z,37.64,-119.4425,6.37,1.95,md,26,125,0.3032,0.22,nc,nc72409610,2015-03-11T23:49:04.618Z,"16km SE of Yosemite Valley, California",earthquake
2015-03-11T21:56:31.000Z,60.8536,-149.7888,33.1,1.3,ml,,,,0.43,ak,ak11527214,2015-03-12T00:08:33.229Z,"41km S of Anchorage, Alaska",earthquake
2015-03-11T21:52:25.770Z,33.7173333,-116.7536667,18.92,0.76,ml,29,75,0.03349,0.09,ci,ci37117223,2015-03-11T22:06:42.871Z,"4km SW of Idyllwild, California",earthquake
2015-03-11T21:46:33.920Z,37.3213348,-122.1006699,0.05,2.02,md,8,104,0.01409,0.04,nc,nc72409600,2015-03-11T22:01:07.999Z,"3km S of Loyola, California",earthquake
2015-03-11T21:43:18.000Z,60.2822,-152.3301,71.2,1.8,ml,,,,0.81,ak,ak11527213,2015-03-11T22:32:00.607Z,"32km SE of Redoubt Volcano, Alaska",earthquake
2015-03-11T21:38:07.000Z,60.1076,-152.3105,28.4,1.7,ml,,,,0.57,ak,ak11527212,2015-03-11T22:31:59.992Z,"45km NW of Anchor Point, Alaska",earthquake
2015-03-11T21:33:50.000Z,61.4427,-149.9934,62.8,1.4,ml,,,,0.74,ak,ak11527210,2015-03-11T22:32:02.238Z,"9km SSW of Big Lake, Alaska",earthquake
2015-03-11T21:31:49.000Z,63.5199,-147.3121,0,1.4,ml,,,,0.8,ak,ak11527208,2015-03-11T22:32:01.241Z,"82km E of Cantwell, Alaska",earthquake
2015-03-11T21:11:50.030Z,34.314,-116.451,10.14,1.51,ml,40,71,0.06095,0.11,ci,ci37117215,2015-03-11T22:01:38.750Z,"22km N of Yucca Valley, California",earthquake
2015-03-11T20:50:58.522Z,36.7369,-116.3033,7.561,0.17,ml,14,105.73,0.074,0.0965,nn,nn00486706,2015-03-11T21:04:26.250Z,"44km ESE of Beatty, Nevada",earthquake
2015-03-11T20:50:13.910Z,38.8035011,-122.7994995,3.45,0.45,md,11,93,0.005536,0.03,nc,nc72409590,2015-03-11T21:15:07.097Z,"4km NW of The Geysers, California",earthquake
2015-03-11T20:22:48.500Z,34.5331667,-118.4591667,7.05,1.77,ml,39,54,0.06613,0.17,ci,ci37117143,2015-03-11T21:54:30.300Z,"13km WNW of Agua Dulce, California",earthquake
2015-03-11T20:14:38.670Z,33.4628333,-116.4891667,13.46,0.38,ml,18,181,0.09967,0.12,ci,ci37117127,2015-03-11T21:46:57.686Z,"20km ESE of Anza, California",earthquake
2015-03-11T19:38:16.010Z,46.1158333,-122.0833333,8.68,0.26,md,7,138,0.02583,0.09,uw,uw60983576,2015-03-11T20:42:03.020Z,"36km NE of Amboy, Washington",earthquake
2015-03-11T19:33:05.200Z,36.077,-117.8851667,3.78,0.58,ml,7,207,0.0475,0.12,ci,ci37117087,2015-03-11T22:13:24.609Z,"7km ENE of Coso Junction, California",earthquake
2015-03-11T19:30:06.300Z,44.5601667,-110.9445,11.26,0.45,md,7,94,0.09,0.08,uu,uu60104242,2015-03-11T22:38:04.710Z,"14km NW of Old Faithful Geyser, Wyoming",earthquake
2015-03-11T19:14:37.290Z,36.4567,71.0811,89.53,4.5,mb,,80,0.781,0.94,us,us10001lne,2015-03-12T03:17:06.518Z,"47km WSW of Ashkasham, Afghanistan",earthquake
2015-03-11T18:53:23.120Z,-30.3516,-177.2397,10,4.9,mb,,100,8.086,0.75,us,us10001ln5,2015-03-12T02:56:06.874Z,"136km SSE of Raoul Island, New Zealand",earthquake
2015-03-11T18:43:55.000Z,64.9255,-147.9109,10.1,1.8,ml,,,,1.06,ak,ak11527041,2015-03-11T19:52:42.143Z,"9km NNW of College, Alaska",earthquake
2015-03-11T18:39:20.150Z,38.8301659,-122.7610016,1.3,1.19,md,14,109,0.01841,0.04,nc,nc72409560,2015-03-11T18:57:07.739Z,"3km WNW of Cobb, California",earthquake
2015-03-11T18:34:33.630Z,34.3508333,-116.883,0.01,1.26,ml,30,113,0.04604,0.19,ci,ci37117047,2015-03-11T21:43:07.180Z,"11km NNW of Big Bear City, California",quarry blast
2015-03-11T18:22:08.800Z,19.4013,-155.231,28.7,1.6,Md,,46.8,0.01796631,0.11,hv,hv60870266,2015-03-11T21:27:00.576Z,"3km SSE of Volcano, Hawaii",earthquake
2015-03-11T18:06:58.790Z,55.875,158.1093,57.75,4.3,mb,,115,2.783,0.72,us,us10001lmj,2015-03-12T02:09:39.911Z,"37km W of Esso, Russia",earthquake
2015-03-11T18:02:15.740Z,-17.4643,-178.8191,529.8,4.8,mb,,71,2.996,0.87,us,us10001lmg,2015-03-12T02:04:41.639Z,"223km ESE of Lambasa, Fiji",earthquake
2015-03-11T17:53:17.510Z,47.353,-122.485,19.59,1.44,md,16,83,0.0734,0.15,uw,uw60983491,2015-03-11T20:48:46.790Z,"7km ENE of Gig Harbor, Washington",earthquake
2015-03-11T17:43:36.750Z,36.0279999,-120.5966644,4.51,1.21,md,19,168,0.04072,0.05,nc,nc72409555,2015-03-11T18:20:06.944Z,"24km WSW of Coalinga, California",earthquake
2015-03-11T17:36:36.050Z,38.8323326,-122.8069992,2.3,1.38,md,20,91,0.009242,0.03,nc,nc72409545,2015-03-11T17:55:05.042Z,"7km W of Cobb, California",earthquake
2015-03-11T17:34:46.470Z,37.6618333,-118.8473333,5.27,0.69,md,12,154,0.02551,0.04,nc,nc72409550,2015-03-11T18:35:07.633Z,"11km E of Mammoth Lakes, California",earthquake
2015-03-11T17:33:13.600Z,34.2306667,-117.0308333,4.46,0.9,ml,13,84,0.03376,0.19,ci,ci37116959,2015-03-11T21:38:16.569Z,"8km ENE of Running Springs, California",earthquake
2015-03-11T17:30:48.860Z,38.831501,-122.8073349,2.31,1.66,md,26,82,0.008372,0.04,nc,nc72409540,2015-03-11T22:43:05.439Z,"7km W of Cobb, California",earthquake
2015-03-11T17:22:37.000Z,60.9353,-145.9921,19.7,2.7,ml,,,,0.75,ak,ak11526951,2015-03-12T01:25:04.528Z,"29km SE of Valdez, Alaska",earthquake
2015-03-11T17:09:13.060Z,36.0543333,-117.5933333,1.7,0.9,ml,12,190,0.1158,0.16,ci,ci37116943,2015-03-11T21:35:26.635Z,"31km ENE of Little Lake, California",earthquake
2015-03-11T17:02:45.450Z,33.5086667,-116.7695,7.98,1.46,ml,48,35,0.06265,0.14,ci,ci37116919,2015-03-11T21:34:08.030Z,"10km WSW of Anza, California",earthquake
2015-03-11T16:49:00.200Z,36.8676,-98.1146,5,2.5,ml,,113,,0.34,us,us10001lpm,2015-03-12T00:51:40.816Z,"24km ENE of Cherokee, Oklahoma",earthquake
2015-03-11T16:47:21.100Z,36.8773,-98.2165,3.955,2.5,ml,,114,,0.54,us,us10001lpd,2015-03-12T00:50:03.940Z,"18km NE of Cherokee, Oklahoma",earthquake
2015-03-11T16:46:36.700Z,46.187,-112.1083,15,2.4,mc,34,50.3999959680003,0.3575295,0.18,mb,mb15167159,2015-03-11T22:51:39.953Z,"5km S of Boulder, Montana",earthquake
2015-03-11T16:45:49.570Z,47.6601667,-120.3345,2.11,0.99,md,8,98,0.05602,0.09,uw,uw60983451,2015-03-11T17:45:41.600Z,"9km W of Entiat, Washington",earthquake
2015-03-11T16:42:10.160Z,35.9991667,-117.9075,5.52,1.4,ml,17,99,0.01629,0.14,ci,ci37116911,2015-03-11T21:23:28.091Z,"6km SE of Coso Junction, California",earthquake
2015-03-11T16:42:05.200Z,36.8745,-98.2179,3.992,2.6,ml,,114,,0.64,us,us10001lmc,2015-03-11T23:17:54.753Z,"18km NE of Cherokee, Oklahoma",earthquake
2015-03-11T16:39:46.000Z,64.5405,-149.5178,11.8,1,ml,,,,0.6,ak,ak11526890,2015-03-11T18:33:22.833Z,"19km WSW of North Nenana, Alaska",earthquake
2015-03-11T16:39:38.130Z,35.7745,-118.0048333,1.61,1.11,ml,17,124,0.1049,0.13,ci,ci37116903,2015-03-11T21:17:35.340Z,"20km SSW of Little Lake, California",earthquake
2015-03-11T16:32:46.220Z,40.4415,-125.3466667,23.22,2.92,ml,28,272,0.8203,0.26,nc,nc72409530,2015-03-12T02:01:06.924Z,"92km W of Ferndale, California",earthquake
2015-03-11T16:31:43.000Z,64.5238,-149.3586,12,0.9,ml,,,,0.13,ak,ak11526886,2015-03-11T18:33:21.346Z,"13km WSW of North Nenana, Alaska",earthquake
2015-03-11T16:23:38.990Z,10.6027,-86.4631,20.91,5.4,mwr,,81,1.016,1.22,us,us10001lk3,2015-03-12T03:16:02.412Z,"89km W of Sardinal, Costa Rica",earthquake
2015-03-11T15:46:30.000Z,66.2403,-149.6432,6.7,2.5,ml,,,,0.92,ak,ak11526831,2015-03-11T23:49:13.333Z,"115km SSE of Coldfoot, Alaska",earthquake
2015-03-11T15:33:57.800Z,36.2731,-97.6433,5.526,2.6,ml,,79,,0.45,us,us10001lk1,2015-03-11T23:36:36.505Z,"22km E of Waukomis, Oklahoma",earthquake
2015-03-11T15:33:04.320Z,33.9276667,-116.0281667,4.84,1.62,ml,38,52,0.07689,0.17,ci,ci37116855,2015-03-11T21:14:41.310Z,"24km S of Twentynine Palms, California",earthquake
2015-03-11T15:12:58.000Z,63.7131,-149.659,0,1.3,ml,,,,0.43,ak,ak11526827,2015-03-11T17:06:36.664Z,"37km WSW of Healy, Alaska",earthquake
2015-03-11T15:04:54.970Z,38.836834,-122.7928314,2.45,0.19,md,8,79,0.01407,0.01,nc,nc72409500,2015-03-11T15:19:05.229Z,"6km WNW of Cobb, California",earthquake
2015-03-11T15:03:20.300Z,41.5273333,-112.144,1.41,0.58,md,8,99,0.101,0.04,uu,uu60104207,2015-03-11T22:29:49.940Z,"10km W of Brigham City, Utah",earthquake
2015-03-11T14:51:27.280Z,33.9321667,-116.0296667,3.96,1.42,ml,38,47,0.0731,0.21,ci,ci37116831,2015-03-11T15:02:42.800Z,"23km S of Twentynine Palms, California",earthquake
2015-03-11T14:46:33.080Z,1.2461,126.349,45.37,4.9,mb,,36,1.121,0.82,us,us10001ljb,2015-03-11T22:49:15.381Z,"124km WNW of Kota Ternate, Indonesia",earthquake
2015-03-11T14:45:29.990Z,38.8160019,-122.8205032,14.2,0.61,md,7,140,0.02126,0.02,nc,nc72409495,2015-03-11T15:09:06.789Z,"7km NW of The Geysers, California",earthquake
2015-03-11T14:44:42.800Z,36.1157,-97.3075,4.852,3.3,ml,,65,,0.55,us,us10001lja,2015-03-11T15:46:25.112Z,"19km S of Perry, Oklahoma",earthquake
2015-03-11T14:40:48.000Z,62.0278,-151.493,83.5,1.5,ml,,,,0.51,ak,ak11526777,2015-03-11T15:40:02.746Z,"79km WSW of Talkeetna, Alaska",earthquake
2015-03-11T14:36:54.070Z,38.8121667,-122.8183333,3.89,0.27,md,11,178,0.01294,0.03,nc,nc72409480,2015-03-12T02:39:07.595Z,"6km NW of The Geysers, California",earthquake
2015-03-11T14:29:41.570Z,40.7734985,-123.583168,30.06,2.08,md,9,104,0.152,0.02,nc,nc72409470,2015-03-11T17:28:06.571Z,"18km SSE of Willow Creek, California",earthquake
2015-03-11T14:18:03.870Z,38.7896652,-122.7616653,2.2,0.79,md,20,59,0.01918,0.03,nc,nc72409465,2015-03-11T16:56:07.241Z,"1km NNW of The Geysers, California",earthquake
2015-03-11T14:08:48.000Z,62.9588,-150.1401,102,1.4,ml,,,,0.22,ak,ak11526776,2015-03-11T15:40:03.955Z,"70km N of Talkeetna, Alaska",earthquake
2015-03-11T14:00:10.910Z,47.7478333,-122.4941667,15.11,0.7,md,9,104,0.2819,0.19,uw,uw60983416,2015-03-11T18:44:49.140Z,"2km E of Indianola, Washington",earthquake
2015-03-11T13:59:04.810Z,38.7928352,-122.7636642,2.78,0.88,md,15,71,0.01896,0.03,nc,nc72409455,2015-03-11T14:14:05.511Z,"1km NNW of The Geysers, California",earthquake
2015-03-11T13:55:01.710Z,38.821,-122.7623333,3.2,0.24,md,10,91,0.01116,0.02,nc,nc72409450,2015-03-12T03:11:06.467Z,"3km W of Cobb, California",earthquake
2015-03-11T13:54:28.000Z,65.186,-149.1176,13.9,1,ml,,,,0.34,ak,ak11526731,2015-03-11T15:40:03.354Z,"64km NW of Ester, Alaska",earthquake
2015-03-11T13:51:14.650Z,34.2921667,-117.747,3.97,0.74,ml,12,58,0.09055,0.17,ci,ci37116767,2015-03-11T21:07:36.064Z,"13km SW of Wrightwood, California",earthquake
2015-03-11T13:41:12.930Z,41.7508333,-112.8491667,7.2,0.8,md,6,246,0.063,0.03,uu,uu60104202,2015-03-11T22:28:14.990Z,"40km E of Park Valley, Utah",earthquake
2015-03-11T13:30:52.110Z,35.8495,-117.7955,11.35,0.62,ml,9,100,0.04783,0.16,ci,ci37116743,2015-03-11T18:56:18.015Z,"14km SE of Little Lake, California",earthquake
2015-03-11T13:28:55.750Z,33.4758333,-116.5645,8.15,0.2,ml,18,107,0.0367,0.23,ci,ci37116735,2015-03-11T15:02:21.077Z,"13km SE of Anza, California",earthquake
2015-03-11T13:28:28.020Z,38.7921677,-122.7480011,1.91,1.01,md,16,48,0.01254,0.03,nc,nc72409435,2015-03-11T14:03:18.822Z,"1km NNE of The Geysers, California",earthquake
2015-03-11T13:27:19.603Z,39.5987,-120.4108,12.8068,0.07,ml,8,143.45,0.147,0.157,nn,nn00486675,2015-03-12T02:46:22.517Z,"24km SSE of Portola, California",earthquake
2015-03-11T13:23:27.060Z,38.7868347,-122.7689972,5.02,0.28,md,9,104,0.01609,0.02,nc,nc72409430,2015-03-11T13:53:05.383Z,"1km NW of The Geysers, California",earthquake
2015-03-11T13:22:53.400Z,38.8036652,-122.8171692,4.16,0.55,md,7,99,0.01072,0.01,nc,nc72409425,2015-03-11T16:02:04.360Z,"6km WNW of The Geysers, California",earthquake
2015-03-11T13:17:57.890Z,38.8128319,-122.796669,3.93,1.62,md,35,31,0.004973,0.02,nc,nc72409420,2015-03-11T15:37:05.336Z,"5km NW of The Geysers, California",earthquake
2015-03-11T13:14:00.730Z,33.7303333,-116.77,18.62,0.41,ml,17,146,0.05031,0.12,ci,ci37116719,2015-03-11T21:04:46.152Z,"5km WSW of Idyllwild, California",earthquake
2015-03-11T13:09:18.350Z,37.4856667,-118.7843333,6.94,1.13,md,16,125,0.1101,0.03,nc,nc72409415,2015-03-11T18:32:05.285Z,"24km SE of Mammoth Lakes, California",earthquake
2015-03-11T13:06:21.250Z,41.5266667,-112.151,3.3,1.57,ml,15,71,0.097,0.09,uu,uu60104197,2015-03-11T22:26:09.380Z,"11km W of Brigham City, Utah",earthquake
2015-03-11T13:05:38.560Z,37.0714,-97.8933,10.45,2.9,mb_lg,,55,0.126,0.09,us,us10001liw,2015-03-11T14:42:50.781Z,"15km SE of Anthony, Kansas",earthquake
2015-03-11T13:03:27.750Z,38.831501,-122.8113327,2.49,0.68,md,11,89,0.008154,0.02,nc,nc72409410,2015-03-11T15:03:08.365Z,"7km W of Cobb, California",earthquake
2015-03-11T12:38:01.480Z,38.8371658,-122.8079987,2.59,1.07,md,19,52,0.01384,0.02,nc,nc72409405,2015-03-11T14:38:03.857Z,"7km WNW of Cobb, California",earthquake
2015-03-11T12:37:33.700Z,38.8383333,-122.8073333,2.85,2.06,md,60,33,0.01327,0.04,nc,nc72409400,2015-03-11T20:40:03.400Z,"7km WNW of Cobb, California",earthquake
2015-03-11T12:31:36.459Z,38.6026,-115.3388,0,1.34,ml,5,205.55,0.319,0.0837,nn,nn00486658,2015-03-12T02:45:45.216Z,"19km SE of Currant, Nevada",earthquake
2015-03-11T12:29:19.220Z,37.5001678,-121.8526688,7.29,1.28,md,10,186,0.04882,0.04,nc,nc72409395,2015-03-11T13:40:04.240Z,"9km NNE of Milpitas, California",earthquake
2015-03-11T12:28:58.950Z,36.0048333,-117.916,2.39,1.9,ml,33,49,0.02096,0.18,ci,ci37116695,2015-03-11T15:02:49.680Z,"5km SSE of Coso Junction, California",earthquake
2015-03-11T12:01:35.820Z,34.3991667,-120.7935,1.47,1.89,ml,12,237,0.2571,0.19,ci,ci37116679,2015-03-11T18:53:27.922Z,"41km SW of Lompoc, California",earthquake
2015-03-11T11:56:09.400Z,36.0471667,-117.7078333,2.24,0.74,ml,10,130,0.05144,0.11,ci,ci37116663,2015-03-11T20:59:25.179Z,"22km E of Coso Junction, California",earthquake
2015-03-11T11:44:28.620Z,36.0456667,-117.7161667,1.8,1,ml,15,125,0.04472,0.22,ci,ci37116647,2015-03-11T15:02:56.571Z,"21km E of Coso Junction, California",earthquake
2015-03-11T11:43:37.010Z,36.0483333,-117.7135,2.19,1.26,ml,16,127,0.04788,0.25,ci,ci37116639,2015-03-11T15:03:14.603Z,"21km E of Coso Junction, California",earthquake
2015-03-11T11:37:50.000Z,60.148,-141.4083,0.6,1.7,ml,,,,1.15,ak,ak11526682,2015-03-11T12:54:15.171Z,"57km E of Cape Yakataga, Alaska",earthquake
2015-03-11T11:34:48.450Z,36.003,-117.9125,3.96,1.76,ml,33,48,0.01853,0.12,ci,ci37116631,2015-03-11T20:57:21.470Z,"6km SE of Coso Junction, California",earthquake
2015-03-11T11:32:37.000Z,61.1648,-146.8893,10,1.6,ml,,,,,ak,ak11526679,2015-03-11T12:54:14.556Z,"29km W of Valdez, Alaska",earthquake
2015-03-11T11:27:19.940Z,36.0368333,-117.8195,1.88,0.58,ml,5,220,0.04547,0.12,ci,ci37128812,2015-03-11T18:46:46.507Z,"12km E of Coso Junction, California",earthquake
2015-03-11T11:26:52.350Z,36.029,-117.824,1.98,-0.12,ml,11,73,0.04777,0.21,ci,ci37116623,2015-03-11T18:45:12.849Z,"11km E of Coso Junction, California",earthquake
2015-03-11T11:14:44.120Z,37.4805,-118.7873333,7.65,1.18,md,15,127,0.05273,0.1,nc,nc72409370,2015-03-12T02:45:33.148Z,"24km SE of Mammoth Lakes, California",earthquake
2015-03-11T11:04:23.000Z,65.1936,-148.9648,13.3,1,ml,,,,0.44,ak,ak11526678,2015-03-11T12:54:16.439Z,"59km NW of Ester, Alaska",earthquake
2015-03-11T11:04:05.170Z,36.0325,-117.8171667,0.17,0.15,ml,6,211,0.0427,0.15,ci,ci37116607,2015-03-11T18:42:12.832Z,"12km E of Coso Junction, California",earthquake
2015-03-11T11:00:45.820Z,36.0378333,-117.8191667,1.1,1.5,ml,24,68,0.04547,0.27,ci,ci37116599,2015-03-11T15:03:47.179Z,"12km E of Coso Junction, California",earthquake
2015-03-11T10:50:37.000Z,61.24,-150.176,45.5,1.3,ml,,,,0.58,ak,ak11526677,2015-03-11T12:54:15.825Z,"15km W of Anchorage, Alaska",earthquake
2015-03-11T10:48:23.990Z,38.8256683,-122.8238297,2.71,0.56,md,7,97,0.01098,0.01,nc,nc72409350,2015-03-11T11:18:05.073Z,"7km NW of The Geysers, California",earthquake
2015-03-11T10:38:49.627Z,39.7241,-118.3821,6.3192,2.11,ml,10,187.71,0.71,0.1368,nn,nn00486647,2015-03-12T02:44:40.930Z,"43km NE of Fallon, Nevada",earthquake
2015-03-11T10:27:30.077Z,41.823,-119.628,3.395,1.32,ml,5,229.26,0.182,0.19,nn,nn00486661,2015-03-12T02:45:54.511Z,"72km SE of Lakeview, Oregon",earthquake
2015-03-11T10:21:20.790Z,38.156,-112.6021667,2.81,1.63,ml,7,97,0.316,0.13,uu,uu60104192,2015-03-11T22:22:00.710Z,"13km SSE of Beaver, Utah",earthquake
2015-03-11T10:15:24.270Z,33.4928333,-116.4088333,9.71,0.44,ml,16,75,0.03359,0.2,ci,ci37116591,2015-03-11T15:04:20.060Z,"21km SSW of La Quinta, California",earthquake
2015-03-11T10:02:07.000Z,58.9925,-152.9311,80.5,2.3,ml,,,,0.72,ak,ak11526674,2015-03-11T11:31:54.508Z,"106km SW of Homer, Alaska",earthquake
2015-03-11T09:39:09.990Z,-6.6598,129.6059,158.41,4.9,mb,,82,2.132,1.09,us,us10001lid,2015-03-11T17:41:39.429Z,"236km NW of Saumlaki, Indonesia",earthquake
2015-03-11T09:37:28.000Z,64.9147,-147.7235,20.4,1.4,ml,,,,0.81,ak,ak11526669,2015-03-11T11:31:55.753Z,"7km NNE of College, Alaska",earthquake
2015-03-11T09:36:32.000Z,64.7913,-147.6158,0.1,1.1,ml,,,,1.46,ak,ak11526668,2015-03-11T11:31:55.076Z,"4km WSW of Badger, Alaska",earthquake
2015-03-11T09:23:25.570Z,36.0385,-117.8135,1.1,0.89,ml,11,130,0.04129,0.23,ci,ci37116575,2015-03-11T15:04:23.208Z,"12km E of Coso Junction, California",earthquake
2015-03-11T09:12:00.980Z,1.1805,97.1486,35,4.5,mb,,202,0.444,0.41,us,us10001li9,2015-03-11T17:14:50.307Z,"167km SSE of Sinabang, Indonesia",earthquake
